"DATE" "DOW_Open" "DOW_High" "DOW_Low" "DOW_Close" "DOW_Adj.Close" "DOW_Volume" "NETEXP" "unemployment" "oil" "gold" "cpi" "federal_funds_rate" "gdp" "consumer_confidence"
"76" "1987-03-01" 850.710022 895.960022 836.47998 859.539978 859.539978 3965100000 NA 6.6 18.305 401.045 112.2 6.02 NA "90.8"
"77" "1987-04-01" 849.659973 901.619995 814.460022 849.47998 849.47998 3931700000 -146.977 6.3 18.643 408.847727272727 112.7 6.22 8460.233 "92.8"
"78" "1987-05-01" 848.049988 888.400024 822.080017 862.390015 862.390015 3417700000 NA 6.3 19.415 439.665 113 7.67 NA "91.1"
"79" "1987-06-01" 867.320007 924.390015 848.98999 907.73999 907.73999 3.595e+09 NA 6.2 20.034 461.65 113.5 6.74 NA "91.5"
"80" "1987-07-01" 904.349976 957.640015 897.340027 951.280029 951.280029 3966400000 -145.464 6.1 21.355 449.277272727273 113.8 6.07 8533.635 "93.7"
"81" "1987-08-01" 943.460022 1000.210022 934.73999 970.059998 970.059998 4062400000 NA 6 20.274 450.330434782609 114.3 6.75 NA "94.4"
"82" "1987-09-01" 971.059998 980.880005 900.719971 946.359985 946.359985 3723200000 NA 5.9 19.526 460.9875 114.7 6.84 NA "93.6"
"83" "1987-10-01" 949.25 970.059998 612.01001 732.22998 732.22998 6094500000 -145.405 6 19.848 460.120454545455 115 7.71 8680.162 "89.3"
"84" "1987-11-01" 730.159973 753.880005 661.840027 678.400024 678.400024 3589520000 NA 5.8 18.92 465.763636363636 115.4 6.62 NA "83.1"
"85" "1987-12-01" 686.840027 742.349976 641.299988 714.27002 714.27002 3926750000 NA 5.7 17.241 468.140476190476 115.6 7.04 NA "86.8"
"86" "1988-01-01" 718.289978 761.309998 690.320007 731.400024 731.400024 3494700000 -123.987 5.7 17.16 487.078571428571 116 6.89 8725.006 "90.8"
"87" "1988-02-01" 734.809998 775.090027 705.76001 769.76001 769.76001 3693240000 NA 5.7 16.765 477.7575 116.2 6.96 NA "91.6"
"88" "1988-03-01" 770.27002 791.719971 737.75 750.869995 750.869995 4052970000 NA 5.7 16.217 442.12380952381 116.5 6.66 NA "94.6"
"89" "1988-04-01" 749.849976 789.23999 733.830017 754.940002 754.940002 3260760000 -106.627 5.4 17.875 443.491304347826 117.2 6.7 8839.641 "91.2"
"90" "1988-05-01" 755.119995 769.400024 713.299988 754.280029 754.280029 3231370000 NA 5.6 17.438 451.557894736842 117.5 6.98 NA "94.8"
"91" "1988-06-01" 753.820007 807.52002 750.039978 801.580017 801.580017 4306710000 NA 5.4 16.53 451.32 118 7.24 NA "94.7"
"92" "1988-07-01" 802.450012 810.02002 762.900024 794.390015 794.390015 3338470000 -99.263 5.4 15.498 451.656818181818 118.5 7.75 8891.435 "93.4"
"93" "1988-08-01" 793.450012 803.700012 742.580017 761.049988 761.049988 3327470000 NA 5.6 15.524 437.452380952381 119 7.91 NA "97.4"
"94" "1988-09-01" 757.869995 806.200012 745.690002 795.450012 795.450012 3059450000 NA 5.4 14.467 431.063636363636 119.5 8.27 NA "97.3"
"95" "1988-10-01" 794.919983 826.02002 786.289978 811.419983 811.419983 3415160000 -107.694 5.4 13.798 413.438636363636 119.9 8.54 9009.913 "94.1"
"96" "1988-11-01" 810.200012 825.460022 771.169983 805.580017 805.580017 2822820000 NA 5.3 13.977 406.390476190476 120.3 8.35 NA "93.0"
"97" "1988-12-01" 804.210022 834.5 792.48999 825.940002 825.940002 2844900000 NA 5.3 16.266 419.965909090909 120.7 8.54 NA "91.9"
"98" "1989-01-01" 823.859985 894.26001 810.619995 891.119995 891.119995 3532220000 -100.965 5.4 17.983 419.2475 121.2 9.04 9101.508 "97.9"
"99" "1989-02-01" 889.210022 903.02002 856.219971 862.890015 862.890015 3216280000 NA 5.2 17.826 404.445238095238 121.6 9.02 NA "95.4"
"100" "1989-03-01" 865.609985 890.559998 844.72998 873.580017 873.580017 3504530000 NA 5 19.445 387.9725 122.2 9.82 NA "94.3"
"101" "1989-04-01" 874.210022 931.849976 868.619995 926.059998 926.059998 3237250000 -88.16 5.2 21.04 390.27380952381 123.1 9.79 9170.977 "91.5"
"102" "1989-05-01" 920.859985 961.669983 903.47998 946.630005 946.630005 3747320000 NA 5.2 20.032 384.72 123.7 9.85 NA "90.7"
"103" "1989-06-01" 945.650024 981.809998 931.299988 943.859985 943.859985 3966590000 NA 5.3 20.005 371.35 124.1 9.84 NA "90.6"
"104" "1989-07-01" 946.090027 1033.640015 941.429993 1030.800049 1030.800049 3249030000 -75.075 5.2 19.644 367.727272727273 124.5 9.63 9238.923 "92.0"
"105" "1989-08-01" 1032.400024 1113.400024 1012.5 1099.920044 1099.920044 3949100000 NA 5.2 18.522 375.209523809524 124.5 8.95 NA "89.6"
"106" "1989-09-01" 1101.170044 1116.609985 1052.589966 1075.459961 1075.459961 3035020000 NA 5.3 19.594 365.547727272727 124.8 8.93 NA "95.8"
"107" "1989-10-01" 1075.079956 1120.98999 971.900024 1007.789978 1007.789978 4012670000 -82.765 5.3 20.091 361.797619047619 125.4 9.24 9257.128 "93.9"
"108" "1989-11-01" 1006.570007 1021.570007 982.429993 1016.369995 1016.369995 3032160000 NA 5.4 19.82 366.8 125.9 8.98 NA "90.9"
"109" "1989-12-01" 1018.859985 1052.579956 998.090027 1035.099976 1035.099976 3213420000 NA 5.4 21.088 394.361363636364 126.3 8.51 NA "90.5"
"110" "1990-01-01" 1033.22998 1061.829956 932.320007 959.539978 959.539978 3793250000 -88.536 5.4 22.641 409.655263157895 127.5 7.97 9358.289 "93.0"
"111" "1990-02-01" 960.5 995.369995 947.26001 986.070007 986.070007 2961970000 NA 5.3 22.108 410.118181818182 128 8.25 NA "89.5"
"112" "1990-03-01" 984.099976 1031.069946 977.640015 1012.099976 1012.099976 3283280000 NA 5.2 20.418 416.5425 128.6 8.3 NA "91.3"
"113" "1990-04-01" 1004.169983 1034.589966 968.200012 979.700012 979.700012 2801220000 -68.833 5.4 18.582 393.661363636364 128.9 8.3 9392.251 "93.9"
"114" "1990-05-01" 983 1049.469971 976.950012 1040.160034 1040.160034 3596680000 NA 5.4 18.237 374.928947368421 129.1 8.11 NA "90.6"
"115" "1990-06-01" 1046.469971 1073.819946 1012.909973 1031.069946 1031.069946 3226280000 NA 5.2 16.871 368.854761904762 129.9 8.28 NA "88.3"
"116" "1990-07-01" 1031.119995 1071.890015 1004.809998 1022.77002 1022.77002 3370320000 -74.953 5.5 18.638 352.657142857143 130.5 8.32 9398.499 "88.2"
"117" "1990-08-01" 1020.340027 1032.719971 855.48999 903.789978 903.789978 4014260000 NA 5.7 27.174 361.820454545455 131.6 8.07 NA "76.4"
"118" "1990-09-01" 896.23999 926.099976 831.940002 858.140015 858.140015 2685400000 NA 5.9 33.687 394.861363636364 132.5 8.06 NA "72.8"
"119" "1990-10-01" 865.549988 906.659973 830.619995 862.530029 862.530029 3670600000 -79.096 5.9 35.922 389.56 133.4 8.25 9312.937 "63.9"
"120" "1990-11-01" 862.820007 904.179993 852.059998 892.780029 892.780029 3148240000 NA 6.2 32.3 381.332608695652 133.7 8.06 NA "66.0"
"121" "1990-12-01" 898.289978 936.349976 888.789978 920.609985 920.609985 3116710000 NA 6.3 27.337 381.865909090909 134.2 7.61 NA "65.5"
"122" "1991-01-01" 918.51001 987.01001 869.419983 981.47998 981.47998 3659100000 -47.14 6.4 24.959 378.160526315789 134.7 5.53 9269.367 "66.8"
"123" "1991-02-01" 981.049988 1050.310059 966.570007 1031.359985 1031.359985 4297640000 NA 6.6 20.523 384.590909090909 134.8 6.3 NA "70.4"
"124" "1991-03-01" 1025.390015 1072.380005 1002.599976 1034.969971 1034.969971 3926860000 NA 6.8 19.86 363.7475 134.8 6.35 NA "87.7"
"125" "1991-04-01" 1031.689941 1080.75 1017.650024 1033.52002 1033.52002 4015890000 -23.188 6.7 20.823 363.39 135.1 6.48 9341.642 "81.8"
"126" "1991-05-01" 1036.790039 1091.349976 1018.099976 1085.76001 1085.76001 3747420000 NA 6.9 21.24 358.054761904762 135.6 5.9 NA "78.3"
"127" "1991-06-01" 1083.98999 1098.540039 1019.01001 1030.420044 1030.420044 3243080000 NA 6.9 20.195 357.116666666667 136 5.92 NA "82.1"
"128" "1991-07-01" 1036.73999 1081.390015 1032.150024 1075.800049 1075.800049 3466100000 -21.074 6.8 21.42 366.36 136.2 6.38 9388.845 "82.9"
"129" "1991-08-01" 1075.209961 1090.73999 1010.909973 1082.060059 1082.060059 3749110000 NA 6.9 21.688 368.013043478261 136.6 5.86 NA "82.0"
"130" "1991-09-01" 1081.380005 1089.920044 1049.660034 1074.930054 1074.930054 3241630000 NA 6.9 21.857 356.721428571429 137 5.5 NA "83.0"
"131" "1991-10-01" 1077.150024 1118.349976 1050.060059 1110.219971 1110.219971 4066550000 -23.053 7 23.228 348.459523809524 137.2 5.4 9421.565 "78.3"
"132" "1991-11-01" 1110.920044 1120.660034 1038.369995 1048.900024 1048.900024 3719190000 NA 7 22.465 358.826086956522 137.8 5.03 NA "69.1"
"133" "1991-12-01" 1040.640015 1167.02002 1030.199951 1156.819946 1156.819946 4149620000 NA 7.3 19.517 359.959523809524 138.2 4.86 NA "68.2"
"134" "1992-01-01" 1149.890015 1199.47998 1135.390015 1155.52002 1155.52002 5245040000 -20.536 7.3 18.82 361.875 138.3 4.09 9534.346 "67.5"
"135" "1992-02-01" 1154.369995 1202.02002 1144.26001 1179.439941 1179.439941 4243890000 NA 7.4 18.995 354.436363636364 138.6 4.4 NA "68.8"
"136" "1992-03-01" 1179.719971 1200.959961 1146.75 1161.800049 1161.800049 4047510000 NA 7.4 18.916 353.8525 139.1 4.13 NA "76.0"
"137" "1992-04-01" 1155.97998 1203.410034 1113.180054 1188.589966 1188.589966 4302390000 -32.788 7.4 20.243 344.640909090909 139.4 4.98 9637.732 "77.2"
"138" "1992-05-01" 1188.219971 1213.930054 1173.439941 1197.089966 1197.089966 3626030000 NA 7.6 20.94 338.7275 139.7 3.75 NA "79.2"
"139" "1992-06-01" 1195.22998 1209.089966 1138.709961 1165.369995 1165.369995 4209090000 NA 7.8 22.375 337.039473684211 140.1 3.96 NA "80.4"
"140" "1992-07-01" 1167.26001 1200.040039 1140.959961 1191.969971 1191.969971 4250080000 -38.488 7.7 21.759 340.784090909091 140.5 3.89 9732.979 "76.6"
"141" "1992-08-01" 1188.660034 1197.609985 1116.699951 1134.550049 1134.550049 3642730000 NA 7.6 21.35 352.452173913043 140.8 3.37 NA "76.1"
"142" "1992-09-01" 1135.630005 1191.040039 1130.619995 1153.459961 1153.459961 3996530000 NA 7.6 21.902 343.6025 141.1 3.39 NA "75.6"
"143" "1992-10-01" 1155.349976 1179.560059 1092.089966 1164.02002 1164.02002 4470560000 -47.14 7.3 21.688 345.3 141.7 3.58 9834.51 "73.3"
"144" "1992-11-01" 1162.969971 1202.920044 1145.75 1194.939941 1194.939941 4133900000 NA 7.4 20.342 344.277272727273 142.1 3.04 NA "85.3"
"145" "1992-12-01" 1192.72998 1222.290039 1172.839966 1204.550049 1204.550049 4829270000 NA 7.4 19.407 334.923809523809 142.3 3.17 NA "91.0"
"146" "1993-01-01" 1207.380005 1233.050049 1188.849976 1225.859985 1225.859985 5252750000 -55.704 7.3 19.075 334.657142857143 142.8 2.66 9850.973 "89.3"
"147" "1993-02-01" 1228.01001 1291.170044 1210.219971 1252.109985 1252.109985 5357080000 NA 7.1 20.053 328.9925 143.1 3.25 NA "86.6"
"148" "1993-03-01" 1253.420044 1295 1229.27002 1279.25 1279.25 5665410000 NA 7 20.347 329.31 143.3 3.65 NA "85.9"
"149" "1993-04-01" 1280.930054 1331.75 1251.430054 1281.930054 1281.930054 5781330000 -63.187 7.1 20.27 329.973913043478 143.8 3.31 9908.347 "85.6"
"150" "1993-05-01" 1282.560059 1316.359985 1257.839966 1296.800049 1296.800049 5097190000 NA 7.1 19.94 341.9475 144.2 3.01 NA "80.3"
"151" "1993-06-01" 1298.849976 1319.47998 1256.800049 1292.589966 1292.589966 5528310000 NA 7 19.07 367.044736842105 144.3 3.33 NA "81.5"
"152" "1993-07-01" 1295.579956 1330.189941 1261.959961 1317.949951 1317.949951 5291440000 -68.354 6.9 17.866 371.913636363636 144.5 3.27 9955.641 "77.0"
"153" "1993-08-01" 1318.98999 1365.97998 1308.02002 1358.569946 1358.569946 5484630000 NA 6.8 18.009 392.034090909091 144.8 3.07 NA "77.3"
"154" "1993-09-01" 1354.339966 1362.030029 1303.459961 1324.540039 1324.540039 5532330000 NA 6.7 17.514 379.795238095238 145 3.25 NA "77.9"
"155" "1993-10-01" 1324.369995 1377.01001 1314.160034 1367.079956 1367.079956 5941070000 -73.449 6.8 18.145 355.561363636364 145.6 3.19 10091.049 "82.7"
"156" "1993-11-01" 1364.5 1381.180054 1323.439941 1362.630005 1362.630005 5887230000 NA 6.6 16.699 364.004761904762 146 3.15 NA "81.2"
"157" "1993-12-01" 1368.339966 1402.069946 1356.050049 1381.030029 1381.030029 5791630000 NA 6.5 14.51 373.938636363636 146.3 3.07 NA "88.2"
"158" "1994-01-01" 1379.819946 1457.25 1362.560059 1447.060059 1447.060059 6630060000 -80.595 6.6 15 383.242857142857 146.3 2.85 10188.954 "94.3"
"159" "1994-02-01" 1446 1454.849976 1370.609985 1380.569946 1380.569946 5852020000 NA 6.6 14.78 387.11 146.7 3.25 NA "93.2"
"160" "1994-03-01" 1380.069946 1394.329956 1265.069946 1297.77002 1297.77002 7249580000 NA 6.5 14.66 381.6575 147.1 3.31 NA "91.5"
"161" "1994-04-01" 1272.680054 1324.400024 1252.540039 1315.910034 1315.910034 5734030000 -90.572 6.4 16.38 384 147.2 3.64 10327.019 "92.6"
"162" "1994-05-01" 1314.98999 1326.699951 1253.060059 1310.890015 1310.890015 5677520000 NA 6.1 17.88 377.907894736842 147.5 3.73 NA "92.8"
"163" "1994-06-01" 1309.079956 1336.819946 1258.160034 1269.339966 1269.339966 5848130000 NA 6.1 19.07 381.3425 147.9 4.33 NA "91.2"
"164" "1994-07-01" 1278.170044 1311.689941 1264.890015 1301.569946 1301.569946 4972060000 -96.868 6.1 19.65 385.713636363636 148.4 3.82 10387.382 "89.0"
"165" "1994-08-01" 1301.810059 1358.97998 1287.800049 1346.72998 1346.72998 6397920000 NA 6 18.38 385.45 149 4.34 NA "91.7"
"166" "1994-09-01" 1341.790039 1349.589966 1268.790039 1285.780029 1285.780029 6156900000 NA 5.9 17.46 380.206818181818 149.3 4.76 NA "91.5"
"167" "1994-10-01" 1287.839966 1322.449951 1243.670044 1307.27002 1307.27002 6333410000 -101.913 5.8 17.71 391.347727272727 149.4 5.44 10506.372 "92.7"
"168" "1994-11-01" 1302.329956 1310.449951 1209.180054 1251.72998 1251.72998 6255770000 NA 5.6 18.1 390.164285714286 149.8 4.76 NA "91.6"
"169" "1994-12-01" 1248.599976 1285.339966 1207.5 1274.410034 1274.410034 6349440000 NA 5.5 17.16 384.377272727273 150.1 5.49 NA "95.1"
"170" "1995-01-01" 1273.280029 1333.51001 1265.280029 1297.459961 1297.459961 6847990000 -105.329 5.6 17.99 379.48 150.5 4.94 10543.644 "97.6"
"171" "1995-02-01" 1300.640015 1368.119995 1286.589966 1356.670044 1356.670044 6333560000 NA 5.4 18.53 378.738095238095 150.9 5.25 NA "95.1"
"172" "1995-03-01" 1352.300049 1407.920044 1318.109985 1388.449951 1388.449951 7788360000 NA 5.4 18.55 376.745 151.2 5.56 NA "90.3"
"173" "1995-04-01" 1386.859985 1446.920044 1376.900024 1438.800049 1438.800049 6295630000 -109.492 5.8 19.87 381.819565217391 151.8 6.3 10575.1 "92.5"
"174" "1995-05-01" 1436.900024 1471.910034 1413.689941 1470.319946 1470.319946 7553190000 NA 5.6 19.74 391.338888888889 152.1 6.1 NA "89.8"
"175" "1995-06-01" 1467.150024 1526.380005 1440.530029 1506.150024 1506.150024 7553800000 NA 5.6 18.42 385.230952380952 152.4 6.04 NA "92.7"
