Date,Open,High,Low,Close,Adj Close,Volume
1981-07-16,371.239990,375.059998,368.700012,372.890015,372.890015,39010000
1981-07-17,373.200012,376.049988,370.320007,373.730011,373.730011,42780000
1981-07-20,371.369995,372.579987,365.579987,366.910004,366.910004,40240000
1981-07-21,365.720001,369.440002,362.250000,365.989990,365.989990,47280000
1981-07-22,366.829987,369.630005,361.859985,363.109985,363.109985,47500000
1981-07-23,362.839996,365.799988,360.149994,363.559998,363.559998,41790000
1981-07-24,363.970001,368.329987,362.480011,366.049988,366.049988,38880000
1981-07-27,367.359985,371.000000,365.410004,368.700012,368.700012,39610000
1981-07-28,368.839996,370.559998,364.410004,366.769989,366.769989,38160000
1981-07-29,366.809998,370.730011,364.339996,366.730011,366.730011,37610000
1981-07-30,367.570007,371.019989,364.959991,369.369995,369.369995,41560000
1981-07-31,369.720001,373.519989,368.079987,371.630005,371.630005,43480000
1981-08-03,371.179993,372.970001,366.890015,369.329987,369.329987,39650000
1981-08-04,368.269989,371.739990,365.679993,369.350006,369.350006,39460000
1981-08-05,369.540009,374.140015,367.730011,371.959991,371.959991,54290000
1981-08-06,372.149994,375.720001,369.019989,372.519989,372.519989,52070000
1981-08-07,371.920013,373.750000,367.630005,369.500000,369.500000,38370000
1981-08-10,368.720001,372.329987,365.950012,369.739990,369.739990,38370000
1981-08-11,370.179993,375.140015,367.609985,372.739990,372.739990,52600000
1981-08-12,373.750000,377.320007,370.559998,372.839996,372.839996,53650000
1981-08-13,373.089996,376.459991,370.750000,373.519989,373.519989,42460000
1981-08-14,373.399994,375.679993,370.109985,371.760010,371.760010,42580000
1981-08-17,371.140015,373.130005,366.989990,368.220001,368.220001,40840000
1981-08-18,367.380005,370.220001,362.869995,365.549988,365.549988,47270000
1981-08-19,365.390015,368.760010,363.070007,366.250000,366.250000,39390000
1981-08-20,366.459991,369.500000,364.489990,366.420013,366.420013,38270000
1981-08-21,366.320007,367.690002,362.309998,363.559998,363.559998,37670000
1981-08-24,361.510010,362.309998,353.149994,354.410004,354.410004,46750000
1981-08-25,351.739990,355.040009,347.570007,352.440002,352.440002,54600000
1981-08-26,352.829987,355.600006,349.130005,352.230011,352.230011,39980000
1981-08-27,351.410004,353.500000,346.929993,349.089996,349.089996,43900000
1981-08-28,348.920013,353.130005,347.429993,350.220001,350.220001,38020000
1981-08-31,351.510010,354.529999,345.820007,346.890015,346.890015,40360000
1981-09-01,346.230011,349.660004,343.049988,346.500000,346.500000,45110000
1981-09-02,346.950012,350.570007,344.959991,347.320007,347.320007,37570000
1981-09-03,347.059998,349.049988,339.700012,340.630005,340.630005,41730000
1981-09-04,339.070007,340.940002,335.000000,337.320007,337.320007,42760000
1981-09-08,336.109985,337.470001,329.320007,331.989990,331.989990,47340000
1981-09-09,332.029999,336.320007,329.809998,333.459991,333.459991,43910000
1981-09-10,334.329987,339.109985,332.929993,336.709991,336.709991,47430000
1981-09-11,337.359985,341.470001,334.529999,339.950012,339.950012,42170000
1981-09-14,339.190002,341.220001,335.600006,338.100006,338.100006,34040000
1981-09-15,337.899994,340.940002,334.450012,335.850006,335.850006,38580000
1981-09-16,334.920013,336.359985,331.079987,333.670013,333.670013,43660000
1981-09-17,333.380005,336.320007,327.899994,329.029999,329.029999,48300000
1981-09-18,327.730011,330.829987,324.239990,327.079987,327.079987,47350000
1981-09-21,326.579987,331.980011,324.239990,329.950012,329.950012,44570000
1981-09-22,330.649994,334.410004,327.549988,330.980011,330.980011,46830000
1981-09-23,329.540009,331.269989,323.029999,328.100006,328.100006,52700000
1981-09-24,328.250000,331.570007,324.859985,326.220001,326.220001,48880000
1981-09-25,323.940002,325.660004,317.390015,320.589996,320.589996,54390000
1981-09-28,315.459991,327.709991,313.179993,326.609985,326.609985,61320000
1981-09-29,328.390015,333.500000,325.700012,329.730011,329.730011,49800000
1981-09-30,329.029999,332.089996,325.929993,330.179993,330.179993,40700000
1981-10-01,329.440002,333.480011,326.829987,331.940002,331.940002,41600000
1981-10-02,332.809998,339.209991,331.209991,337.220001,337.220001,54540000
1981-10-05,339.790009,343.540009,335.660004,338.079987,338.079987,51290000
1981-10-06,337.510010,341.920013,333.869995,336.970001,336.970001,45460000
1981-10-07,337.429993,343.179993,335.799988,341.700012,341.700012,50030000
1981-10-08,341.660004,345.720001,338.579987,343.790009,343.790009,47090000
1981-10-09,344.570007,346.869995,340.049988,342.149994,342.149994,50060000
1981-10-12,343.010010,344.670013,338.880005,341.549988,341.549988,30030000
1981-10-13,341.609985,344.279999,338.350006,340.589996,340.589996,43360000
1981-10-14,340.049988,340.959991,334.040009,334.820007,334.820007,40260000
1981-10-15,334.000000,338.839996,332.230011,336.750000,336.750000,42830000
1981-10-16,336.630005,338.799988,332.910004,335.000000,335.000000,37800000
1981-10-19,333.809998,336.480011,330.859985,334.279999,334.279999,41590000
1981-10-20,335.309998,340.339996,333.609985,337.489990,337.489990,51530000
1981-10-21,337.839996,341.679993,334.920013,336.950012,336.950012,48490000
1981-10-22,336.600006,338.700012,333.630005,336.190002,336.190002,40630000
1981-10-23,335.070007,336.630005,331.019989,333.260010,333.260010,41990000
1981-10-26,332.029999,334.100006,328.720001,331.660004,331.660004,38210000
1981-10-27,332.230011,338.760010,330.339996,335.019989,335.019989,53030000
1981-10-28,335.890015,340.260010,333.320007,336.209991,336.209991,48100000
1981-10-29,336.049988,338.170013,331.589996,333.980011,333.980011,40070000
1981-10-30,332.950012,341.609985,331.640015,340.630005,340.630005,59570000
1981-11-02,343.480011,347.899994,341.250000,345.130005,345.130005,65100000
1981-11-03,345.390015,348.269989,342.440002,346.380005,346.380005,54620000
1981-11-04,346.399994,350.630005,343.559998,347.769989,347.769989,53450000
1981-11-05,348.230011,350.750000,343.829987,345.290009,345.290009,50860000
1981-11-06,344.570007,346.420013,341.100006,343.179993,343.179993,43270000
1981-11-09,342.869995,347.279999,340.440002,345.269989,345.269989,48310000
1981-11-10,346.049988,350.510010,343.179993,345.700012,345.700012,53940000
